t,x,y,vx,vy,V
52.8176,9.32905,7.35798,-5.50916,6.02484,8.16392
52.8176,5.62354,16.219,-10.3494,1.51232,10.4593
52.8176,18.6572,1.78844,-0.182166,6.64568,6.64818
52.8176,3.1592,4.53151,-7.66094,-3.88083,8.58783
52.8176,4.70862,11.6177,4.86211,10.7645,11.8116
52.8176,14.2201,4.26059,1.21697,-7.66033,7.75639
52.8176,2.75134,9.12852,-1.615,6.62053,6.81467
52.8176,17.9446,11.6778,-5.88218,-8.54431,10.3733
52.8176,16.4678,14.2033,-7.22906,-2.64086,7.69632
52.8176,4.93555,2.58482,-7.50587,4.69198,8.85171
52.8176,3.35094,18.1121,5.10136,-0.612987,5.13805
52.8176,3.56818,6.70085,-1.58213,-6.62838,6.81458
52.8176,15.1192,15.9437,1.01997,-15.6796,15.7128
52.8176,9.09247,4.51299,2.65605,0.238393,2.66673
52.8176,8.88722,16.6518,3.86972,-6.48681,7.55337
52.8176,15.4566,7.50467,-11.4457,-10.4781,15.5176
52.8176,13.1681,6.74289,9.83097,5.07122,11.0619
52.8176,7.75471,2.06177,-8.6766,-3.01602,9.18585
53.1177,10.0768,11.0969,6.21976,-4.35128,7.59072
53.1177,18.9265,15.1252,-1.5665,-6.30362,6.49535
53.1177,14.4183,10.6405,-6.25775,-6.22643,8.82767
53.1177,1.10733,7.3374,6.9116,0.0387005,6.91171
53.1177,2.5473,1.90782,3.04879,-1.06251,3.22863
53.1177,1.19626,13.8031,-4.89509,10.8713,11.9225
53.1177,10.7585,16.2012,2.75002,-6.42493,6.98873
53.1177,9.70479,6.94707,-5.50916,6.02484,8.16392
53.1177,6.3294,16.1159,-10.3494,1.51232,10.4593
53.1177,18.6696,1.33519,-0.182166,6.64568,6.64818
53.1177,3.6724,4.7456,-7.52135,-3.12067,8.14306
53.1177,4.53434,11.1124,-8.28418,-8.38774,11.7891
53.1177,14.1371,4.78305,1.21697,-7.66033,7.75639
53.1177,3.22068,9.13902,4.49635,5.27501,6.9313
53.1177,18.3458,12.2606,-5.88218,-8.54431,10.3733
53.1177,15.4805,13.9848,17.3039,3.93769,17.7463
53.1177,5.44747,2.26481,-7.50587,4.69198,8.85171
53.1177,3.00301,18.1539,5.10136,-0.612987,5.13805
53.1177,3.99865,7.11927,-9.61504,1.44924,9.72365
53.1177,15.0384,17.0276,1.18566,-15.8936,15.9377
53.1177,8.91132,4.49673,2.65605,0.238393,2.66673
53.1177,8.6233,17.0942,3.86972,-6.48681,7.55337
53.1177,16.2372,8.21931,-11.4457,-10.4781,15.5176
53.1177,12.4976,6.39702,9.83097,5.07122,11.0619
